ayn rand,Atlas Shrugged
jayne ann krentz,The Pirate
huff tanya,The Enchantment Emporium
resau laura,Red Glass
golden arthur,Kenang-Kenangan Seorang Geisha (Memoirs of a Geisha)
hoover colleen,Maybe Not
wendy markham,Slightly Single
mason deaver,I Wish You All the Best
steve parker,Super Human Encyclopedia: Discover the Amazing Things Your Body Can Do
cokal susann,The Kingdom of Little Wounds
r. j. anderson,Ultraviolet
niki smith,The Deep and Dark Blue
blake kendare,Five Dark Fates
adoff jaime,Names Will Never Hurt Me
e.l. james,Fifty Shades Darker
kaiu shirai,The Promised Neverland
kate elliott,Buried Heart
bich minh nguyen,Stealing Buddha's Dinner: A Memoir
susane colasanti,All I Need
nathan d. wilson,The Dragon's Tooth
huxley aldous,Brave New World Revisited
stanley tookie williams,Life In Prison
king stephen,The Dark Half
reyna grande,The Distance Between Us: A Memoir
daud somaiya,Mirage
sarah j. maas,Throne of Glass
michelle ruiz keil,All of Us with Wings
chris colfer,A Tale of Witchcraft
clare cassandra,City of Fallen Angels
adams douglas,The Restaurant at the End of the Universe
golden arthur,Memoirs of a Geisha
cormac mccarthy,No Country for Old Men
vivs bastien,Last Man: The Royal Cup
tim o'brien,The Things They Carried
nd stevenson,Nimona
aida salazar,The Moon Within
rice anne,The Tale of a Body Thief
ponti james,Dead City
c. b. lee,A Clash of Steel: A Treasure Island Remix
sarah j. maas,A Court of Frost and Starlight
james franco,Palo Alto: Stories
hoover colleen,Without Merit
chelo manchego,The Want Monsters: And How They Stopped Ruling My World
peter ackerman,Things You Shouldn't Say Past Midnight: A Comedy in Three Beds
gail carriger,Soulless
cherry alison,For Real
david levithan,Two Boys Kissing
ann patchett,Bel Canto
amy ignatow,The Less-Than-Hidden Secrets and Final Revelations of Lydia Goldblatt and Julie Graham-Chang
tom birdseye,Attack of the Mutant Underwear
hoover colleen,November 9
anastasia higginbotham,Not My Idea: A Book About Whiteness
jerry spinelli,There’s a Girl in My Hammerlock
jodi picoult,Perfect Match
sam moussavi,Hoop City: Detroit
black holly,The Wicked King
marrin albert,A Volcano Beneath the Snow: John Brown's War Against Slavery
jonathan kellerman,A Measure of Darkness
judy blundell,What I Saw and How I Lied
kate lauren,Torment
chuck palahniuk,Haunted
sara shepard,Killer
john irving,The World According to Garp
daz junot,The Brief Wondrous Life of Oscar Wao
rodman philbrick,Freak the Mighty
maguire gregory,Cress Watercress
mahogany l. browne,Woke: A Young Poets Call to Justice
alex willan,Unicorns Are the Worst!
leigh bardugo,Siege and Storm
shaun david hutchinson,The Apocalypse of Elena Mendoza
ann patchett,State of Wonder
ibi zoboi,Black Enough: Stories of Being Young and Black in America
ward rachel,Infinity
brandon sanderson,Firefight
cecily von ziegesar,Nothing Can Keep Us Together
terry catasus jennings,Knight of the Cape: Definitely Dominguita
coe booth,Bronxwood
gwyn hyman rubio,Icy Sparks
e. r. frank,Life is Funny
bryan stevenson,Just Mercy
orwell george,1984
mahogany l. browne,Chlorine Sky
holly jackson,As Good as Dead
james patterson,Honeymoon
meg cabot,The Princess Present: A Princess Diaries Book
t.c. boyle,The Best American Short Stories 2015
kelman judith,After the Fall
ward rachel,The Chaos
harris charlaine,Living Dead in Dallas
rachael lippincott,The Lucky List
michele campbell,It's Always the Husband
a. g. howard,Untamed (AGH)
one title not specified),One-Punch Man (Series
donnelly jennifer,Stepsister
gayle forman,Just One Year
plath sylvia,The Bell Jar
sones sonya,What My Mother Doesn't Know
octavia e. butler,Kindred
thrash maggie,We Know It Was You
ng celeste,Little Fires Everywhere
black holly,The Queen of Nothing
connor leslie,The Truth As Told By Mason Buttle
norton preston,Neanderthal Opens the Door to the Universe
jason reynolds,All American Boys
brian conaghan,When Mr. Dog Bites
deb caletti,One Great Lie
jennifer a. nielsen,Words on Fire
tim federle,Better Nate Than Ever
starr cecie,Biology: The Unity and Diversity of Life
lee sandra,Recipe Box
vivan siobhan,Same Difference
frazier charles,Cold Mountain
paul langan,Search for Safety
e. lockhart,Genuine Fraud
marie rutkoski,The Midnight Lie
neil gaiman,American Gods
kelly jensen,(Don't) Call Me Crazy: 33 Voices Start the Conversation
alice walker,The Color Purple
