k. vaughan brian,Pride of Baghdad
morgan llywelyn,Pride of Lions
rob sanders,Pride: The Story of Harvey Milk and the Rainbow Flag
steve alten,Primal Waters
illus. by stevie lewis daniel haack,Prince & Knight
haack daniel,Prince and Knight
jordan mechner,Prince of Persia
kay o'neill,Princess Princess Ever After
meg cabot,Princess in Love
meg cabot,Princess in Training
meg cabot,Princess in the Spotlight
meg cabot,Princess on the Brink
barbara kingsolver,Prodigal Summer
anderson laurie halse,Prom
helms rhonda,Promposal
eric braun,Protest Movements: Then and Now
ibtihaj muhammad,Proud: Living My American Dream (Young Readers Edition)
francesca lia block,Psyche in a Dress
robin talley,Pulp
julie murphy,Pumpkin
rex ogle,Punching Bag
bil wright,Putting Makeup on the Fat Boy
aime carter,Queen
sarah j. maas,Queen of Shadows
anne rice,Queen of the Damned
r. j. anderson,Quicksilver
john updike,Rabbit Redux
john updike,Rabbit at Rest
peters julie anne,Rage: A Love Story
alex sanchez,Rainbow Boys
alex sanchez,Rainbow High (Rainbow Trilogy Series)
megan atwood,Raise the Stakes
ndaa hassan,Ramadan Around The World
julie murphy,Ramona Blue
julie murphy,Ramona Blue
aaron hartzler,Rapture Practice: A True Story About Growing Up Gay in an Evangelical Family
raymond chandler,Raymond Chandler: Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell My Lovely / The High Window
ziemke kristin,Read the World: Rethinking Literacy for Empathy and Action in a Digital Age
meg cabot,Ready or Not
a. s. king,Reality Boy
e. e. charlton-trujillo,Rebel Girl Revolution (Fat Angie Series)
marcus emerson,Recess Warriors: Hero Is A Four-Letter Word
lee sandra,Recipe Box
blake nelson,Recovery Road
houck colleen,Recreated
laura resau,Red Glass
k. arnold elana,Red Hood
brown pierce,Red Rising
p. c. cast,Redeemed
p. c. cast,Redeemed (House of Night Series)
k. a. holt,Redwood and Ponytail
alan gratz,Refugee
mcgee katharine,Reign
lucy knisley,Relish: My Life in the Kitchen
naylor phyllis reynolds,Reluctantly Alice (Alice Series)
terri libenson,Remarkably Ruby
nora roberts,Remember When
lauren oliver,Requiem
amy ignatow,Research for the Social Improvement and General Betterment of Lydia Goldblatt and Julie Graham-Chang
alexie sherman,Reservation Blues
a. nielsen jennifer,Resistance
katie rain hill,Rethinking Normal: A Memoir in Transition
p. c. cast,Revealed (House of Night Series)
haddix margaret peterson,Revealed (MPH)
p. c. cast,Revealed (PCC)
blythe carolita,Revenge of a Not-So-Pretty Girl
la sala ryan,Reverie
king stephen,Revival
dahl roald,Revolting Rhymes
lauren myracle,Rhymes with Witches
alex gino,Rick
andrea cremer,Rift (Nightshade Prequel Series)
kat falls,Rip Tide
geoff tibbals,Ripley's Believe It or Not!: Seeing Is Believing
geoff tibbals,Ripley's Believe It or Not!: Shatter Your Senses!
andrea robertson,Rise
m. azmitia,Rising Out
sara bennett-wealer,Rival
airth rennie,River of Darkness
m. draper sharon,Romiette and Julio
emma donoghue,Room
yang kelly,Room to Dream
alex haley,Roots: The Saga of An American Family
eloise greenfield,Rosa Parks
king stephen,Rose Madder
wein elizabeth,Rose Under Fire
a. g. howard,RoseBlood
tom stoppard,Rosencrantz and Guildenstern Are Dead
hobb robin,Royal Assassin
leigh bardugo,Ruin and Rising
ryan darlene,Rules for Life
anna godberson,Rumors
chris crutcher,Running Loose
denize lauture,Running the Road to ABC
sara shepard,Ruthless
heather corinna,S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College
chloe schwenke,SELF-ish: A Transgender Awakening
coerr eleanor,Sadako
summers courtney,Sadie
shaw susan,Safe
james patterson,Sail
p. e. ryan,Saints of Augustine
carlos hernandez,Sal and Gabi Break the Universe (Sal and Gabi Series)
jodi picoult,Salem Falls
king stephen,Salem's Lot
ruta sepetys,Salt to the Sea
duncan alexandra,Salvage
ward jesmyn,Salvage the Bones
ward jesmyn,Salvage the Bones (Bois Sauvage Series)
karen chinn,Sam and the Lucky Money
dani gabriel,Sam!
vivan siobhan,Same Difference
j. burns laura,Sanctuary Bay
lahlil gilbran,Sand and Foam
fisher catherine,Sapphique
shou harusono,Sasaki and Miyano
agnes borinsky,Sasha Masha
oge mora,Saturday
ellen wittlinger,Saturdays with Hitchcock
sarah weeks,Save Me a Seat
west catherine adel,Saving Ruby King
claire legrand,Sawkill Girls
zetta elliott,Say Her Name
h. reynolds peter,Say Something
cammie mcgovern,Say What You Will
uwem akpan,Say You're One of Them
garsee jeannine,Say the Word
meyer marissa,Scarlet
cheryl rainfield,Scars
o'malley bryan lee,Scott Pilgrim Vol. 5: Scott Pilgrim vs. the Universe
kelley armstrong,Sea of Shadows
paul langan,Search for Safety
mariah fredericks,Season of the witch
john hawkes,Second Skin
kit fick,See All the Stars
sparks nicholas,See Me
paul fleischman,Seedfolks
iris gottlieb,Seeing Gender: An Illustrated Guide to Identity and Expression
iris gottlieb,Seeing Gender: An Illustrated Guide to Identity and Expression
lauren mclaughlin,Send Pics
haddix margaret peterson,Sent
duncan tonatiuh,Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation
bennett madison,September Girls
robert beatty,Serafina and the Black Cloak
meyer marissa,Serendipity: Ten Romantic Tropes Transformed
alameda courtney,Seven Deadly Shadows
illus. by fiona smyth cory silverberg,Sex is a Funny Word
blum deborah,Sex on the Brain: The Biological Differences Between Men and Women
nikol hasler,Sex: An Uncensored Introduction
rotner shelley,Shades of People
mead richelle,Shadow Kiss
laurie forest,Shadow Wand
jane routley,Shadow in the Empire of Light
deborah harkness,Shadow of Night
card orson scott,Shadow of the Hegemon
l. armentrout jennifer,Shadows
davids sharice,Sharice's Big Voice: A Native Kid Becomes a Congresswoman
kelly quindlen,She Drives Me Crazy
lamb wally,She's Come Undone
kit rosewater,Shelly Struggles to Shine
boylan jennifer finney,She’s Not There: A Life in Two Genders
lauren myracle,Shine
britta lundin,Ship It
maggie stiefvater,Shiver
alysia constantine,Short Stuff: A Young Adult LGBTQ+ Anthology
laurie halse anderson,Shout
kody keplinger,Shut Out
hesse hermann,Siddhartha
hesse hermann,Siddhartha (Dual-Language edition)
payne alexander,Sideways: The Shooting Script
leigh bardugo,Siege and Storm
becca fitzpatrick,Silence
becky albertalli,Simon vs. the Homo Sapiens Agenda (Simonverse Series)
morgan matson,Since You've Been Gone
j.p. ahonen,Sing No Evil
jodi picoult,Sing You Home
lyons kelly starling,Sing a Song: How Lift Every Voice and Sing Inspired Generations
maya angelou,Singin' and Swingin' and Gettin' Merry Like Christmas
jules jacqueline,Singing Superstar (Sofía Martínez Series)
maggie stiefvater,Sinner
chief seattle brother eagle,Sister Sky
ann brashares,Sisterhood of the Traveling Pants
gary paulsen,Sisters/Hermanas
king stephen,Skeleton Crew
napoli donna jo,Skin (DJN)
nalo hopkinson,Skin Folk: Stories
sherry shahan,Skin and Bones
kurt vonnegut,Slaughterhouse-Five: The Graphic Novel
morris brittney,Slay
king stephen,Sleeping Beauties
fahy thomas,Sleepless
wendy markham,Slightly Single
megan mccafferty,Sloppy Firsts
megan mccafferty,Sloppy Firsts (Jessica Darling Series)
barnes derrick,Slumber Party Payback (Ruby and the Booker Boys Series)
eve bunting,Smoky Night
andrea robertson,Snakeroot
chuck palahniuk,Snuff
paula chase,So Done
alex sanchez,So Hard to Say
adams douglas,So Long and Thanks for All the Fish
mina javaherbin,Soccer Star
maln. alegra,Sofi Mendoza's Guide to Getting Lost in Mexico
jules jacqueline,Sofia's Party Shoes (Sofía Martínez Series)
dowd siobhan,Solace of the Road
kwame alexander,Solo
peter cameron,Someday This Pain Will Be Useful to You
patty blount,Someone I Used to Know
celano marianne,Something Happened in Our Town
smith amber,Something Like Gravity
diana athill,Somewhere Towards the End
gregory maguire,Son of a Witch
jonah winter,Sonia Sotomayor: A Judge Grows in the Bronx/La juez que creció en el Bronx
lyon george ella,Sonny's House of Spies
archer jeffrey,Sons of Fortune
greene stephanie,Sophie Hartley and the Facts of Life
styron william,Sophie's Choice
bree barton,Soul of Cinder (Heart of Thorns Series)
gail carriger,Soulless
elena armas,Spanish Love Deception
jake wizner,Spanking Shakespeare
lesla newman,Sparkle Boy
iweala uzodinma,Speak No Evil
johnson lana wood,Speak for Yourself
fox elaine,Special of the Day
e. butler octavia,Speech Sounds
david valdes,Spin Me Right Round
napoli donna jo,Spinners
walden tillie,Spinning
mead richelle,Spirit Bound
a. g. howard,Splintered
aaron starmer,Spontaneous
michelle schusterman,Spotlight on Coding Club! (Girls Who Code Series)
joseph bruchac,Squanto's Journey: The Story of the First Thanksgiving
jennifer richard jacobson,Stained
x. kendi ibram,Stamped from the Beginning: The Definitive History of Racist Ideas in America
dee barbara,Star-Crossed
dee barbara,Star-Crossed
neil gaiman,Stardust
bowman akemi dawn,Starfish (ADB)
gray claudia,Stargazer
lin grace,Starry River of the Sky
meyer marissa,Stars Above: A Lunar Chronicles Collection
krull kathleen,Starstruck: The Cosmic Journey of Neil Degrasse Tyson
ann patchett,State of Wonder
deb caletti,Stay
tobly mcsmith,Stay Gold
chris crutcher,Staying Fat for Sarah Byrnes
nguyen bich minh,Stealing Buddha's Dinner: A Memoir
b. schiffer miriam,Stella Brings the Family
monica mckayhan,Step Up
jennifer donnelly,Stepsister
smith andrew,Stick
ngozi ukazu,Sticks and Scones
chevy stevens,Still Missing
lucy christopher,Stolen
skyrpuch marsha forchuk,Stolen Girl
john reynolder,Stone Fox
rob sanders,Stonewall: A Building. An Uprising. A Revolution.
louise rennison,Stop in the Name of Pants!
l. armentrout jennifer,Storm and Fury
sara zarr,Story of a Girl
kenan malik,Strange Fruit: Why Both Sides Are Wrong in the Race Debate
tessa gratton,Strange Grace
laini taylor,Strange the Dreamer
chris colfer,Stranger Than Fanfiction
dodd christina,Strangers She Knows
l.d. lapinski,Strangeworlds Travel Agency
ronald koertge,Strays
faye kellerman,Street Dreams
kirstin cronn-mills,Striving for Equality: LGBTQ Athletes Claim the Field
angela valenzuela,Subtractive Schooling: U.S.-Mexican Youth and the Politics of Caring
reid kiley,Such a Fun Age
brian meehl,Suck It Up
robert shapard,Sudden Fiction (Continued): 60 New Short-Short Stories
robert shapard,Sudden Fiction: American Short Stories
ford michael thomas,Suicide Notes
lynn weingarten,Suicide Notes From Beautiful Girls
lupita nyong'o,Sulwe
akemi dawn bowman,Summer Bird Blue
hannah kristin,Summer Island
elizabeth holleville,Summer Spirit
candace bushnell,Summer and the City
gary soto,Summer on Wheels: A Road Trip Like No Other
zoey dean,Sunset Boulevard
steve parker,Super Human Encyclopedia: Discover the Amazing Things Your Body Can Do
adam sass,Surrender Your Sons
tolan stephanie,Surviving the Applewhites
james patterson,Suzanne's Diary for Nicholas
burke james lee,Swan Peak
lynn nottage,Sweat
lisa greenwald,Sweet Treats and Secret Crushes
natalie davis miller,Swimming with Faith: The Missy Franklin Story (ZonderKidz Biography Series)
amanda hocking,Switched
andrzej sapkowski,Sword of Destiny
john grisham,Sycamore Row
shannon mcferran,Synchro Boy
david levithan,Take Me With You When You Go
c. c. hunter,Taken at Dusk
tony allan,Tales of Mystery and Imagination
maupin armistead,Tales of the City
john barnes,Tales of the Madman Underground
kim barker,Taliban Shuffle: Strange Days in Afghanistan and Pakistan
billy merrell,Talking in the Dark: A Poetry Memoir
anne rice,Taltos
ronnie sidney ii,Tameka's New Dress
carolyn mackler,Tangled
kathleen jeffrie johnson,Target
thor rosiee,Tarnished Are the Stars
tim floreen,Tattoo Atlas
donald trent jacobs,Teaching Truly: A Curriculum to Indigenize Mainstream Education
d. delpit lisa,Teaching When the World Is on Fire
bell hooks,Teaching to Transgress: Education as the Practice of Freedom
stacia deutsch,Team BFF: Race to the Finish! (Girls Who Code Series)
kate lauren,Teardrop
francesca lia block,Teen Spirit
j. parks peggy,Teenage Sex and Pregnancy
don nardo,Teens and Gender Dysphoria
quin tegan,Tegan and Sara: Junior High
sara farizan,Tell Me Again How a Crush Should Feel
safi aminah mae,Tell Me How You Really Feel
calla devlin,Tell Me Something Real
julie cross,Tempest
cecily von ziegesar,Tempted (CVZ)
p. c. cast,Tempted (House of Night Series)
p. c. cast,Tempted (PCC)
mckeon belinda,Tender
p. clarke colin,Terrorism Inc.: The Financing of Terrorism Insurgency and Irregular Warfare
rachel hartman,Tess of the Road
emily franklin,Tessa Masterson Will Go to Prom
c. s. lewis,That Hideous Strength: A Modern Fairy-Tale for Grown-Ups
johnston e. k,That Inevitable Victorian Thing
amy giles,That Night
kara thomas,That Weekend
kody keplinger,That's Not What Happened
jasper sanchez,The (Un)Popular Vote
troy andrews,The 5 O'Clock Band
slater dashka,The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives
james patterson,The 9th Judgment
steven brezenoff,The Absolute Value of -1
young suzanne,The Adjustment
doyle arthur conan,The Adventures and the Memoirs of Sherlock Holmes
dav pilkey,The Adventures of Captain Underpants
mark twain,The Adventures of Tom Sawyer (Sterling)
johnston e. k,The Afterward
walker karen thompson,The Age of Miracles
hutchinson shaun david,The Apocalypse of Elena Mendoza
lisa williamson,The Art of Being Normal
jeffrey m. r. duncan-andrade,The Art of Critical Pedagogy: Possibilities for Moving from Theory to Practice in Urban Schools
chad harbach,The Art of Fielding
hisaya nakajo,The Art of Hana-Kimi
duyvis corinne,The Art of Saving the World
oates joyce carol,The Assignation
kelley armstrong,The Awakening (KA)
amy ignatow,The Awesomely Awful Melodies of Lydia Goldblatt and Julie Graham-Chang
alley kristy dallas,The Ballad of Ami Miles
david a. robertson,The Barren Grounds (The Misewa Saga Series)
king stephen,The Bazaar of Bad Dreams
jules jacqueline,The Beach Trip (Sofía Martínez Series)
william kotzwinkle,The Bear Went Over the Mountain
hodkin michelle,The Becoming of Noah Shaw
plath sylvia,The Bell Jar
clayton dhonielle,The Belles
ostrom melissa,The Beloved Wild
jan berenstain,The Berenstain Bears and the Big Question (The Berenstain Bears Series)
robert sharenow,The Berlin Boxing Club
gwen harwood,The Best 100 Poems of Gwen Harwood
t.c. boyle,The Best American Short Stories 2015
maulik pancholy,The Best at It
maulik pancholy,The Best at It
l. ferman edward,The Best from Fantasy and Science Fiction: A Special 25th Anniversary Anthology
donna kauffman,The Big Bad Wolf Tells All
james ellroy,The Black Dahlia
atta dean,The Black Flamingo
joseph frederick,The Black Friend: On Being a Better White Person
laurie forest,The Black Witch
lana popovi,The Blood Countess (Lady Slayers Series)
rick riordan,The Blood of Olympus
bill bryson,The Body: A Guide for Occupants
gregory philippa,The Boleyn Inheritance
hannah crafts,The Bondwoman's Narrative
kidd sue monk,The Book of Longings
robert ludlum,The Bourne Identity
robert ludlum,The Bourne Supremacy
de gramont nina,The Boy I Love
lucille clifton,The Boy Who Didn't Believe in Spring
louis sachar,The Boy Who Lost His Face
david williams,The Boy in the Dress
snyder dianne,The Boy of the Three-Year Nap
uchida yoshiko,The Bracelet
john grisham,The Brethren
bill konigsberg,The Bridge
waller robert james,The Bridges of Madison County
daz junot,The Brief Wondrous Life of Oscar Wao
katherine sturtevant,The Brothers Story
coert voorhees,The Brothers Torres
brent runyon,The Burn Journals
rick riordan,The Burning Maze
rick riordan,The Burning Maze (The Trials of Apollo Series)
polacco patricia,The Butterfly
carlos fuentes,The Campaign
chad sell,The Cardboard Kingdom
jessie ann foley,The Carnival at Bray
alko selina,The Case for Loving: The Fight for Interracial Marriage
nancy springer,The Case of the Bizarre Bouquets
nancy springer,The Case of the Peculiar Pink Fan
j.k. rowling,The Casual Vacancy
j.d. salinger,The Catcher in the Rye
glenna mcreynolds,The Chalice and the Blade
kate horsley,The Changeling
ward rachel,The Chaos
alison cochrun,The Charm Offensive
robert cormier,The Chocolate War
williams carol lynch,The Chosen One
alane ferguson,The Christopher Killer
dave eggers,The Circle
alane ferguson,The Circle of Blood
aden polydoros,The City Beautiful
m. auel jean,The Clan of the Cave Bear
harriet wittels,The Clear and Simple Thesaurus Dictionary
isabel sterling,The Coldest Touch
lynn joseph,The Color of My Words
katz karen,The Colors of Us/Los colores de nuestra piel
peter farrelly,The Comedy Writer
j. ball pamela,The Complete Book of Dreams and Dreaming
flannery o'connor,The Complete Stories
styron william,The Confessions of Nat Turner
morris brittney,The Cost of Knowing
abraham verghese,The Covenant of Water
wass eliza,The Cresswell Plot
brown sandra,The Crush
burgan michael,The Curse of King Tut's Tomb
dawn klehr,The Cutting Room Floor
kody keplinger,The DUFF: Designated Ugly Fat Friend
angelo surmelis,The Dangerous Art of Blending In
t. sutherland tui,The Dangerous Gift
alison goodman,The Dark Days Club
white kiersten,The Dark Descent of Elizabeth Frankenstein
king stephen,The Dark Half
mette newth,The Dark Light
rick riordan,The Dark Prophecy
rick riordan,The Dark Prophecy (The Trials of Apollo Series)
patricia mckissack,The Dark Thirty: Southern Tales of the Supernatural
alicia jasinska,The Dark Tide
bracken alexandra,The Darkest Minds
holly black,The Darkest Part of the Forest
eliot schrefer,The Darkness Outside Us
justin lookadoo,The Dateable Rules: A Guide to the Sexes
m. t. anderson,The Daughters of Ys
woodson jacqueline,The Day You Begin
heide florence parry,The Day of Ahmed's Secret
forsyth frederick,The Day of the Jackal
etler cyndy drew,The Dead Inside
king stephen,The Dead Zone
john marsden,The Dead of Night
woodson jacqueline,The Dear One
jaime adoff,The Death of Jayson Porter
niki smith,The Deep and Dark Blue
herman christine lynn,The Devouring Gray (The Devouring Gray Series)
edwidge danticat,The Dew Breaker
jack kerouac,The Dharma Bums
george madeleine,The Difference Between You and Me
reyna grande,The Distance Between Us: A Memoir
ann packer,The Dive From Clausen's Pier
bray libba,The Diviners
mosca julia finley,The Doctor with an Eye for Eyes: The Story of Dr. Patricia Bath
carolyn parkhurst,The Dogs of Babel
jean fritz,The Double Life of Pocahontas
paolo bacigalupi,The Doubt Factory
lee stacey,The Downstairs Girl
d. wilson nathan,The Dragon's Tooth
king stephen,The Drawing of the Three
gloria ladson-billings,The Dreamkeepers: Successful Teachers of African American Children
sheri holman,The Dress Lodger
f.n. monjo,The Drinking Gourd: A Story of the Underground Railroad
c.l. herman,The Drowning Summer
george elizabeth,The Edge of the Water (Whidbey Island Saga Series)
carter forrest,The Education of Little Tree
lee victoria,The Electric Heir (Feverwake Series)
david arnold,The Electric Kingdom
kris radish,The Elegant Gathering of White Snows
cass kiera,The Elite
huff tanya,The Enchantment Emporium
newton michael,The Encyclopedia of Serial Killers
megan abbott,The End of Everything
deb caletti,The Epic Story of Every Living Thing
laura steven,The Exact Opposite of Okay (Izzy O'Neill Series)
b. cooney caroline,The Face on the Milk Carton
cole brock,The Facts Speak for Themselves
robert muchamore,The Fall
lore pittacus,The Fall of Five
smyth ciara,The Falling in Love Montage
puzo mario,The Family
levy dana alison,The Family Fletcher Takes Rock Island (Family Fletcher Series)
john green,The Fault in our Stars
mason deaver,The Feeling of Falling in Love
caleb roehrig,The Fell of Dark
ben philippe,The Field Guide to the North American Teenager
diana gabaldon,The Fiery Cross
noelle stevenson,The Fire Never Goes Out: A Memoir in Pictures
joseph bruchac,The First Strawberries
shaun david hutchinson,The Five Stages of Andrew Brawley
bernard malamud,The Fixer
bernard malamud,The Fixer (BM)
nye naomi shihab,The Flag of Childhood: Poems From the Middle East
nicky silver,The Food Chain (Play)
betsy cornwell,The Forest Queen
sharon cameron,The Forgetting
erin gruwell,The Freedom Writers Diary
cale dietrich,The Friend Scheme
stacia deutsch,The Friendship Code (Girls Who Code Series)
zia farhana,The Garden of My Imaan
anne enright,The Gathering
kelley armstrong,The Gathering (KA)
testa rylan jay,The Gender Quest Workbook: A Guide for Teens and Young Adults Exploring Gender Identity
lee mackenzi,The Gentleman's Guide to Vice and Virtue (Montague Siblings Series)
smith kirsten,The Geography of Girlhood
steel danielle,The Gift (DS)
lumbard rabiah york,The Gift of Ramadan
j. p. delaney,The Girl Before
king stephen,The Girl Who Loved Tom Gordon
stieg larsson,The Girl Who Played with Fire
paula hawkins,The Girl on the Train
julia finley mosca,The Girl with a Mind for Math: The Story of Raye Montague
sarah glenn marsh,The Girls Are Never Gone
tess sharpe,The Girls I've Been
walls jeannette,The Glass Castle
cole brock,The Goats
carolina de robertis,The Gods of Tango
carolyn marsden,The Gold-Threaded Dress
john steinbeck,The Grapes of Wrath
tim federle,The Great American Whatever
eloise greenfield,The Great Migration: Journey to the North
lynn curlee,The Great Nijinsky: God of Dance
alexandra villasante,The Grief Keeper
flynn gillian,The Grownup
shaffer mary anne,The Guernsey Literary and Potato Peel Pie Society
moore jr. eddie,The Guide for White Women Who Teach Black Boys
king stephen,The Gunslinger
rick riordan,The Hammer of Thor (Magnus Chase and the Gods of Asgard Series)
maureen johnson,The Hand on the Wall
atwood margaret,The Handmaid's Tale
atwood margaret,The Handmaid's Tale: The Graphic Novel
b. t. gottfred,The Handsome Girl and Her Beautiful Boy
jesse andrews,The Haters
andrs miedoso,The Haunted House Next Door (Desmond Cole Ghost Patrol Series)
maya angelou,The Heart of a Woman
kathryn stockett,The Help
adiba jaigirdar,The Henna Wars
sharon robinson,The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend
rick riordan,The Hidden Oracle (The Trials of Apollo Series)
corrie ten boom,The Hiding Place: The Triumphant True Story of Corrie Ten Boom
drew magary,The Hike
alan bennett,The History Boys: A Play
melvin burgess,The Hit
adams douglas,The Hitchhiker's Guide to the Galaxy
la sala ryan,The Honeys
shaw tucker,The Hookup Artist
karen schwabach,The Hope Chest
meyer stephenie,The Host
thelma lynne godin,The Hula-Hoopin' Queen
anderson laurie halse,The Impossible Knife of Memory
kathryn erskine,The Incredible Magic of Being
senz benjamin alire,The Inexplicable Logic of My Life
lauren myracle,The Infinite Moment of Us
lauren myracle,The Infinite Moment of Us
rick yancey,The Infinite Sea
kiran desai,The Inheritance Of Loss
king stephen,The Institute
trudy ludwig,The Invisible Boy
laurie forest,The Iron Flower
elin hilderbrand,The Island
cecily von ziegesar,The It Girl
nancy werlin,The Killer's Cousin
e. pearson mary,The Kiss of Deception
khaled hosseini,The Kite Runner
khaled hosseini,The Kite Runner Graphic Novel
raymond chandler,The Lady in the Lake
lee mackenzi,The Lady's Guide to Petticoats and Piracy
lee mackenzi,The Lady's Guide to Petticoats and Piracy (Montague Siblings Series)
l. george alice,The Last American Hero: The Remarkable Life of John Glenn
vivian siobhan,The Last Boy and Girl in the World
tate meredith,The Last Confession of Autumn Casterly
harmon michael,The Last Exit to Normal
john grisham,The Last Juror
baldwin rosecrans,The Last Kid Left
daphne scholinski,The Last Time I Wore a Dress
leah scheier,The Last Words We Said
brittany cavallaro,The Last of August
scott turow,The Laws of Our Fathers
curtis marci lyn,The Leading Edge of Now
malle mirion,The League of Super Feminists
tom perrotta,The Leftovers
reyes sonora,The Lesbiana's Guide to Catholic School
amy ignatow,The Less-Than-Hidden Secrets and Final Revelations of Lydia Goldblatt and Julie Graham-Chang
april lurie,The Less-dead
iturbe antonio,The Librarian of Auschwitz
iturbe antonio,The Librarian of Auschwitz: The Graphic Novel
jamie pacton,The Life and (Medieval) Times of Kit Sweetly
connors kathleen,The Life of Rosa Parks (Famous Lives Series)
tana french,The Likeness
de la pena matt,The Living
jerry hopkins,The Lizard King: The Essential Jim Morrison
amy ignatow,The Long-Distance Dispatch Between Lydia Goldblatt and Julie Graham-Chang
sparks nicholas,The Longest Ride
pat conroy,The Lords of Discipline
clare cassandra,The Lost Book of the White
clare cassandra,The Lost Book of the White (The Eldest Curses Series)
dan brown,The Lost Symbol
robin talley,The Love Curse of Melody McIntyre
ali hazelwood,The Love Hypothesis
cale dietrich,The Love Interest
emily henry,The Love that Split the World
kami garcia,The Lovely Reckless
sparks nicholas,The Lucky One
anna godberson,The Luxe
nguyen trung le,The Magic Fish
angela diterlizzi,The Magical Yet
lev grossman,The Magician King
lev grossman,The Magician’s Land
ken follett,The Man from St. Petersburg
dumas alexandre,The Man in the Iron Mask
rick riordan,The Mark of Athena
andy weir,The Martian
kann claire,The Marvelous
james dashner,The Maze Runner
jaye robin brown,The Meaning of Birds
kidd sue monk,The Mermaid Chair
marie rutkoski,The Midnight Lie
marie rutkoski,The Midnight Lie (Forgotten Gods Series)
lu marie,The Midnight Star
karen cushman,The Midwife's Apprentice
curtis christopher paul,The Mighty Miss Malone
de medeiros james,The Migration North
levy dana alison,The Misadventures of the Family Fletcher (Family Fletcher Series)
m. danforth emily,The Miseducation of Cameron Post
mazer norma fox,The Missing Girl
jules jacqueline,The Missing Mouse (Sofía Martínez Series)
bradley marion zimmer,The Mists of Avalon
cohen caron lee,The Mud Pony
bill konigsberg,The Music of What Happens
david levithan,The Mysterious Disappearance of Aidan S. (As Told To His Brother)
choi yangsook,The Name Jar
kerr trace,The Names We Take
burke james lee,The Neon Rain
b. t. gottfred,The Nerdy and the Dirty
rin chupeco,The Never Tilting World
andfelice picano charles silversteinedmund white,The New Joy of Gay Sex
eli adam,The New Queer Conscience
veera hiranandani,The Night Diary
john marsden,The Night Is For Hunting
hannah kristin,The Nightingale
amy reed,The Nowhere Girls
amy reed,The Nowhere Girls
martin george r. r.,The Official a Game of Thrones Coloring Book: An Adult Coloring Book
hecht tracey,The Ominous Eye
r. donaldson stephen,The One Tree
brandy colbert,The Only Black Girls in Town
sonya sones,The Opposite of Innocent
gregory philippa,The Other Boleyn Girl
m. g. hennessey,The Other Boy
woodson jacqueline,The Other Side
kiely brendan,The Other Talk: Reckoning with Our White Privilege
jodi picoult,The Pact: A Love Story
cat clarke,The Pants Project
cat clarke,The Pants Project
donna gephart,The Paris Project
justin cronin,The Passage
isaac fitzsimons,The Passing Playbook
robert jordan,The Path of Daggers
simon j. ortiz,The People Shall Continue
stephen chbosky,The Perks of Being a Wallflower
oscar wilde,The Picture of Dorian Gray
ken follett,The Pillars of the Earth
krentz jayne ann,The Pirate
kim on-su,The Plotters
acevedo elizabeth,The Poet X
t. sutherland tui,The Poison Jungle
bill konigsberg,The Porcupine of Truth
trudy ludwig,The Power of One: Every Act of Kindness Counts
lore pittacus,The Power of Six
l. harrison,The Pretty Committee Strikes Back
jo langford,The Pride Guide: A Guide to Sexual and Social Health for LGBTQ Youth
jen wang,The Prince and the Dressmaker
meg cabot,The Princess Present: A Princess Diaries Book
duncan tonatiuh,The Princess and the Warrior: A Tale of Two Volcanoes
young suzanne,The Program
summers courtney,The Project
kaiu shirai,The Promised Neverland
ibtihaj muhammad,The Proudest Blue: A Story of Hijab and Family
emma donoghue,The Pull of the Stars
holly black,The Queen of Nothing
teresa schaeffer,The Questions Within (Cutting Edge Series)
robert cormier,The Rag and Bone Shop
marcus pfister,The Rainbow Fish
iris chang,The Rape of Nanking
rachel elliott,The Real Riley Mayes
kelley armstrong,The Reckoning
clare cassandra,The Red Scrolls of Magic
clare cassandra,The Red Scrolls of Magic (The Eldest Curses Series)
william faulkner,The Reivers
sparks nicholas,The Rescue
ness patrick,The Rest of Us Just Live Here
adams douglas,The Restaurant at the End of the Universe
brandy colbert,The Revolution of Birdie Randolph
lore pittacus,The Rise of Nine
cormac mccarthy,The Road
t.c. boyle,The Road to Wellville
amy ignatow,The Rocky Road Trip of Lydia Goldblatt and Julie Graham-Chang
wertherim l. jon,The Rookie Bookie
rafe martin,The Rough-Face Girl
louise erdrich,The Round House
john brindley,The Rule of Claw
ian caldwell,The Rule of Four
m. o'brien caragh,The Rule of Mirrors
nancy holder,The Rules
clayton dhonielle,The Rumor Game
king stephen,The Running Man
gay roxane,The Sacrifice of Darkness
hannah abigail clarke,The Scapegracers (Scapegracers Series)
andrs miedoso,The Scary Library Shusher (Desmond Cole Ghost Patrol Series)
james dashner,The Scorch Trials
bow erin,The Scorpion Rules
katja millay,The Sea of Tranquility
bernstein sara tuvel,The Seamstress: A Memoir of Survival
ann brashares,The Second Summer Of The Sisterhood
robin maxwell,The Secret Diary of Anne Boleyn
jules jacqueline,The Secret Recipe (Sofía Martínez Series)
sitomer alan lawrence,The Secret Story of Sonia Rodriguez
